               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02414,           0.0052915,                   0,          0.00030434,             0.96875,           0.0038897,            0.002021,           0.0097946,          0.00057458,                   0,            0.070014,           0.0033318,           0.0033318
                   1,            0.020492,           0.0025398,                   0,          0.00087074,             0.96875,             0.09051,            0.039397,           0.0086792,          0.00058592,                   0,             0.03975,           0.0064012,           0.0064012
                   2,            0.019994,           0.0023786,                   0,          0.00054165,              0.6875,           0.0049213,           0.0018825,            0.010593,          0.00056745,                   0,           0.0092219,           0.0092066,           0.0092066
                   3,            0.022183,           0.0022173,                   0,          0.00088179,                 0.5,            0.018286,           0.0019513,            0.010871,          0.00058093,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.022262,           0.0024083,                   0,           0.0016535,             0.71875,           0.0077714,           0.0013996,            0.010484,           0.0005455,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.019963,           0.0023959,                   0,           0.0011034,               0.625,            0.061155,            0.014948,           0.0096621,          0.00060373,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.019625,           0.0023573,                   0,           0.0010259,              0.5625,           0.0024714,          0.00074641,           0.0095746,          0.00062746,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.019629,           0.0025174,                   0,           0.0010844,              0.8125,            0.002241,          0.00072096,           0.0084043,          0.00064689,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.018162,             0.00242,                   0,           0.0010065,             0.65625,           0.0018782,          0.00054472,           0.0089818,          0.00063957,                   0,            0.007228,            0.007228,            0.007228
                   9,             0.01889,           0.0025323,                   0,           0.0010366,              0.8125,             0.12656,            0.025901,           0.0077285,          0.00063037,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.017148,           0.0025541,                   0,          0.00080412,              0.9375,            0.012794,           0.0041884,           0.0078436,          0.00062461,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.016794,           0.0025469,                   0,           0.0012281,                0.75,             0.19105,            0.065603,           0.0084412,          0.00058259,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.015811,           0.0024389,                   0,           0.0018419,               0.875,             0.22758,            0.058514,           0.0081269,          0.00060023,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.016936,           0.0026337,                   0,           0.0011618,               0.875,           0.0058339,           0.0020956,           0.0074203,          0.00065402,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.015624,            0.002469,                   0,           0.0018013,              0.9375,             0.28323,             0.10458,           0.0071514,          0.00064821,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.014693,           0.0024341,                   0,           0.0015992,              0.9375,             0.28352,             0.11927,           0.0071533,          0.00062068,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.014392,           0.0024393,                   0,           0.0018092,             0.96875,             0.26664,             0.12576,           0.0067848,          0.00063885,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.014532,           0.0024735,                   0,           0.0019003,             0.96875,             0.35759,              0.1684,           0.0066152,          0.00061427,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.014418,           0.0024323,                   0,            0.090805,              0.3125,             0.26778,             0.15558,           0.0065518,          0.00059968,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.012774,           0.0022066,                   0,             0.29474,             0.39198,             0.40935,             0.22005,           0.0063393,          0.00053268,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.013147,           0.0023796,                   0,                   1,             0.21358,             0.40541,             0.19331,           0.0063156,          0.00057488,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.012472,           0.0023088,                   0,             0.89448,              0.1875,             0.39405,             0.17351,           0.0067899,          0.00054574,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.012611,           0.0022888,                   0,             0.59124,             0.34375,              0.4663,             0.28678,           0.0058067,           0.0004929,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.011828,           0.0021758,                   0,             0.62807,             0.36964,             0.52531,             0.26702,           0.0057704,          0.00048479,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.011357,           0.0021302,                   0,             0.66907,              0.3161,             0.47391,              0.2774,            0.005495,          0.00047961,                   0,            0.000892,            0.000892,            0.000892
