epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.611,1.53546,1.90475,1.7217,0.718,0.75837,0.77121,0.44061,0.93637,1.14281,1.20405,0.000666464,0.000666464,0.000666464
2,774.72,1.56512,1.64618,1.77002,0.95127,0.83493,0.89289,0.55988,0.82099,1.07907,1.05927,0.00128034,0.00128034,0.00128034
3,1193.59,1.47684,1.4651,1.68828,0.85725,0.81888,0.86717,0.48398,0.87726,0.97882,1.09302,0.00184141,0.00184141,0.00184141
4,1597.8,1.34828,1.29156,1.58673,0.94597,0.83732,0.92047,0.62042,0.73892,0.74897,0.99546,0.0017624,0.0017624,0.0017624
5,1992.67,1.29247,1.19861,1.54639,0.98347,0.85422,0.93494,0.60162,0.69504,0.92314,0.93833,0.0016832,0.0016832,0.0016832
6,2374.54,1.19253,1.08628,1.4547,0.96564,0.88756,0.95265,0.68604,0.65308,0.63975,0.90777,0.001604,0.001604,0.001604
7,2750.95,1.12969,1.03298,1.40085,0.94651,0.90909,0.95837,0.68306,0.6374,0.60517,0.87875,0.0015248,0.0015248,0.0015248
8,3122.61,1.1223,0.94387,1.4064,0.96556,0.93062,0.97011,0.71846,0.61081,0.62016,0.84678,0.0014456,0.0014456,0.0014456
9,3492.06,1.06277,0.88773,1.35577,0.95607,0.94258,0.9735,0.7172,0.59802,0.61787,0.84135,0.0013664,0.0013664,0.0013664
10,3862.38,1.06056,0.87705,1.35842,0.97018,0.93415,0.96507,0.74794,0.57693,0.57364,0.81608,0.0012872,0.0012872,0.0012872
11,4181.22,1.00544,0.8359,1.31907,0.97832,0.92584,0.98195,0.75874,0.55383,0.60011,0.79397,0.001208,0.001208,0.001208
12,4464.81,0.99843,0.79831,1.30081,0.96043,0.93062,0.97604,0.76562,0.5119,0.51981,0.76572,0.0011288,0.0011288,0.0011288
13,4748.54,0.94462,0.73631,1.26794,0.9721,0.92823,0.97729,0.75062,0.53486,0.51868,0.78094,0.0010496,0.0010496,0.0010496
14,5030.99,0.92248,0.72715,1.25479,0.98247,0.93846,0.98288,0.77487,0.50568,0.60651,0.74619,0.0009704,0.0009704,0.0009704
15,5313.76,0.89517,0.69575,1.21103,0.98251,0.94056,0.98612,0.78736,0.48445,0.4906,0.7244,0.0008912,0.0008912,0.0008912
16,5610.64,0.6146,0.46754,0.9264,0.98494,0.93889,0.97811,0.78297,0.49897,0.69704,0.73599,0.000812,0.000812,0.000812
17,5882.33,0.59657,0.43534,0.90867,0.97577,0.96349,0.98454,0.80052,0.48753,0.47001,0.72843,0.0007328,0.0007328,0.0007328
18,6153.85,0.57804,0.41714,0.88749,0.99243,0.94117,0.98438,0.80129,0.47537,0.49188,0.719,0.0006536,0.0006536,0.0006536
19,6425.53,0.56564,0.39439,0.88705,0.98697,0.9378,0.98462,0.80695,0.47038,0.44459,0.7167,0.0005744,0.0005744,0.0005744
20,6696.82,0.5495,0.37714,0.85914,0.99161,0.95933,0.9888,0.8021,0.45959,0.48305,0.70385,0.0004952,0.0004952,0.0004952
21,6968.5,0.52949,0.37118,0.85163,0.98286,0.96013,0.98448,0.81781,0.44957,0.43035,0.69576,0.000416,0.000416,0.000416
22,7240.57,0.50787,0.3434,0.82193,0.98993,0.96411,0.98944,0.8212,0.45165,0.40033,0.68677,0.0003368,0.0003368,0.0003368
23,7511.54,0.49288,0.33191,0.80848,0.98532,0.96348,0.99126,0.81466,0.43868,0.42389,0.67988,0.0002576,0.0002576,0.0002576
24,7782.8,0.47813,0.32415,0.80903,0.97658,0.96172,0.98735,0.81817,0.43463,0.43298,0.67685,0.0001784,0.0001784,0.0001784
25,8053.84,0.46641,0.30781,0.79007,0.97231,0.9689,0.99032,0.82635,0.43073,0.44757,0.67097,9.92e-05,9.92e-05,9.92e-05
